gene	gencodeId	n_transcripts	max_median	second_median	multi_isoform_normal
CUL3	ENSG00000036257.12	16	14.829999923706055	11.0	True
CYP3A5	ENSG00000106258.13	15	15.4399995803833	13.579999923706055	True
CYP4F12	ENSG00000186204.14	17	8.079999923706055	2.9800000190734863	True
DAB2IP	ENSG00000136848.16	10	13.130000114440918	10.850000381469727	True
DAZAP2	ENSG00000183283.15	15	96.1500015258789	24.489999771118164	True
DBN1	ENSG00000113758.13	11	20.489999771118164	5.699999809265137	True
DCAF6	ENSG00000143164.15	12	12.670000076293945	10.15999984741211	True
DCUN1D4	ENSG00000109184.14	22	4.599999904632568	3.809999942779541	True
DDB2	ENSG00000134574.11	16	22.81999969482422	7.360000133514404	True
DDX5	ENSG00000108654.13	35	242.75	107.91999816894531	True
DECR1	ENSG00000104325.6	19	28.670000076293945	14.359999656677246	True
DENND1A	ENSG00000119522.16	12	7.840000152587891	0.9900000095367432	False
DHRS7	ENSG00000100612.13	12	124.66000366210938	1.149999976158142	True
DHRS9	ENSG00000073737.16	8	0.3700000047683716	0.10999999940395355	False
DIABLO	ENSG00000184047.16	16	11.59000015258789	7.360000133514404	True
DIAPH2	ENSG00000147202.17	5	2.700000047683716	1.0700000524520874	True
DIAPH3	ENSG00000139734.17	9	0.03999999910593033	0.0	False
DKC1	ENSG00000130826.17	13	15.600000381469727	2.130000114440918	True
DMKN	ENSG00000161249.20	68	13.069999694824219	6.190000057220459	True
DMPK	ENSG00000104936.17	20	22.209999084472656	13.829999923706055	True
DMRT1	ENSG00000137090.11	3	0.0	0.0	False
DMTN	ENSG00000158856.17	23	10.829999923706055	8.829999923706055	True
DNM1L	ENSG00000087470.17	30	9.140000343322754	7.840000152587891	True
DOCK4	ENSG00000128512.20	17	3.130000114440918	2.8499999046325684	True
DOCK7	ENSG00000116641.17	37	4.539999961853027	1.1399999856948853	True
DRG2	ENSG00000108591.9	21	17.6299991607666	6.980000019073486	True
DSC1	ENSG00000134765.9	2	0.019999999552965164	0.0	False
DTX3	ENSG00000178498.15	9	35.709999084472656	14.369999885559082	True
DUOX1	ENSG00000137857.17	12	6.289999961853027	3.450000047683716	True
DYSF	ENSG00000135636.13	19	6.360000133514404	0.6200000047683716	False
ECHDC2	ENSG00000121310.16	26	89.16999816894531	78.1500015258789	True
ECT2	ENSG00000114346.13	16	1.1200000047683716	0.5400000214576721	False
EDEM3	ENSG00000116406.18	6	5.46999979019165	4.820000171661377	True
EEF1D	ENSG00000104529.17	56	179.13999938964844	123.5999984741211	True
EFHC1	ENSG00000096093.15	39	4.670000076293945	4.099999904632568	True
EHBP1	ENSG00000115504.14	20	7.869999885559082	1.9900000095367432	True
EHF	ENSG00000135373.12	12	28.110000610351562	2.8399999141693115	True
EIF3D	ENSG00000100353.17	12	63.65999984741211	30.59000015258789	True
EIF4A2	ENSG00000156976.16	27	88.81999969482422	71.41999816894531	True
ELAC2	ENSG00000006744.18	21	9.460000038146973	8.010000228881836	True
ELMOD3	ENSG00000115459.17	22	7.230000019073486	3.7300000190734863	True
ELOC	ENSG00000154582.16	10	18.459999084472656	12.930000305175781	True
ELP2	ENSG00000134759.13	28	16.899999618530273	12.039999961853027	True
ENAH	ENSG00000154380.17	9	8.699999809265137	8.600000381469727	True
ENTPD6	ENSG00000197586.12	18	38.68000030517578	16.93000030517578	True
EPHB2	ENSG00000133216.16	7	1.159999966621399	0.41999998688697815	False
EPN3	ENSG00000049283.17	18	5.909999847412109	5.349999904632568	True
ERG	ENSG00000157554.18	16	2.359999895095825	1.899999976158142	True
